EAN/UPC,Material,BUn,Category,Key Word,Art Desc,Aisle Number,Side,Aisle Section
3760070516,642135,EA,Grocery Ambient,Canned Food and Ready to Eat,Hormel Spam Luncheon Meat,9,R,10
3760070785,642156,EA,Grocery Ambient,Canned Food and Ready to Eat,Hormel Spam Luncheon Meat Lite,9,R,10
4152500213,314830,EA,Grocery Ambient,Baking,Parowax Wax Paraffin,9,L,20
4780000002,357198,EA,Grocery Ambient,Canned Food and Ready to Eat,UnderWod Deviled Ham,9,R,10
4800100698,546270,EA,Grocery Ambient,Canned Food and Ready to Eat,Knorr Slcts Bouillon Powdr Chk,9,R,1
4800100700,546271,EA,Grocery Ambient,Canned Food and Ready to Eat,Knorr Slcts Bouillon Powder Bf,9,R,1
5209200330,359153,EA,General Merchandise,GM - Kitchenwares and Housewares,HandFoil Storg Cont w/Fold Lid,9,L,4
5209220398,411352,EA,General Merchandise,GM - Kitchenwares and Housewares,HandFoil Loaf Pan W/Lid 2lbs,9,L,4
5209236705,493839,EA,General Merchandise,GM - Kitchenwares and Housewares,HandFoil Lasagna Pans Giant,9,L,4
5260305405,363821,EA,Grocery Ambient,Canned Food and Ready to Eat,PacfFood Broth Mushroom Org,9,R,3
5260305408,162195,EA,Grocery Ambient,Canned Food and Ready to Eat,PaciFood Org Chicken Broth L/S,9,R,3
5260305411,334548,EA,Grocery Ambient,Canned Food and Ready to Eat,PaciFood Vegetable Broth,9,R,3
5260305479,288077,EA,Grocery Ambient,Canned Food and Ready to Eat,PaciFood Soup Thai Sweet Pot,9,R,3
5260305480,288079,EA,Grocery Ambient,Canned Food and Ready to Eat,PaciFood Soup Veg Lentil&R/Pep,9,R,3
5260305484,287559,EA,Grocery Ambient,Canned Food and Ready to Eat,PaciFood Soup Cream Of Mshrm,9,R,3
5260305495,364623,EA,Grocery Ambient,Canned Food and Ready to Eat,PacfFood Org Hrty Tomato Bisqu,9,R,3
5260305496,364621,EA,Grocery Ambient,Canned Food and Ready to Eat,PacfFood Org RdPpr Tomato Bsq,9,R,3
5260305497,364618,EA,Grocery Ambient,Canned Food and Ready to Eat,PacfFood Org Cshs Crt Gngr Bsq,9,R,3
5260305515,389722,EA,Grocery Ambient,Canned Food and Ready to Eat,Pacific Veg Brth Lw Sod Og 4PK,9,R,3
5260305517,389665,EA,Grocery Ambient,Canned Food and Ready to Eat,Pacific Chick Broth Lw Sd 4 Pk,9,R,3
5500038279,429734,EA,Grocery Ambient,Cooking Ingredients,Maggi Mix SoJuicyButterChicken,9,L,16
5500038281,428297,EA,Grocery Ambient,Cooking Ingredients,Maggi So Juicy Mix Herbs,9,L,16
5500038282,428301,EA,Grocery Ambient,Cooking Ingredients,Maggi SoJuicyMix Chicken Papri,9,L,16
5522000008,546268,EA,Grocery Ambient,Canned Food and Ready to Eat,Knorr Slct Bouillon Cube Beef,9,R,1
5522000010,546269,EA,Grocery Ambient,Canned Food and Ready to Eat,Knorr Slcts Bouillon CDO Veg,9,R,1
5522006001,900845,EA,Grocery Ambient,Canned Food and Ready to Eat,Knorr Soup Mix Vegetable,9,R,1
5522006003,900847,EA,Grocery Ambient,Canned Food and Ready to Eat,Knorr Soup Mix Cream Leek,9,R,1
5522006008,900804,EA,Grocery Ambient,Canned Food and Ready to Eat,Knorr Soup Mix Chicken Ndl,9,R,1
5522006012,900808,EA,Grocery Ambient,Canned Food and Ready to Eat,Knorr Soup Mix Onion,9,R,1
